source_id	ONCpc2	_RAJ2000	_DEJ2000	N	NIC	RAJ2000	DEJ2000	F336W	e_F336W	f_F336W	F439W	e_F439W	f_F439W	F656N	e_F656N	f_F656N	F814W	e_F814W	f_F814W
2658	109	83.772687	-5.375142	1	0	05 35 05.445	-05 22 30.51	       	21.1702	2	       	21.3755	2	17.3791	0.2547	1	16.8504	0.0292	1
2751	110	83.776125	-5.367461	1	0	05 35 06.270	-05 22 02.86	21.5158	0.2313	1	21.7365	0.2459	1	15.4981	0.0599	1	15.0545	0.0127	1
2638	111	83.771804	-5.389722	1	0	05 35 05.233	-05 23 23.00	       	21.2119	2	       	22.2049	2	       	17.9755	2	18.8553	0.0914	1
2766	112	83.776829	-5.368753	1	0	05 35 06.439	-05 22 07.51	19.0016	0.043	1	20.4123	0.0804	1	14.2679	0.0305	1	15.7258	0.0148	1
2713	113	83.774117	-5.387778	1	0	05 35 05.788	-05 23 16.00	21.7078	0.2735	1	21.5867	0.22	1	18.2168	0.2148	1	16.3599	0.0216	1
2560	114	83.769183	-5.411803	1	0	05 35 04.604	-05 24 42.49	21.1712	0.1848	1	20.1856	0.0777	1	18.0049	0.2464	1	14.7358	0.0122	1
2811	115	83.778671	-5.369225	1	0	05 35 06.881	-05 22 09.21	       	21.0222	2	       	21.2867	2	17.6156	0.2307	1	16.3944	0.0209	1
2583	116	83.769529	-5.409969	1	0	05 35 04.687	-05 24 35.89	       	21.8813	2	20.7787	0.1214	1	16.9737	0.1102	1	17.096	0.0327	1
2686	117	83.773629	-5.395917	1	1	05 35 05.671	-05 23 45.30	       	22.0221	2	       	21.273	2	16.7265	0.1034	1	17.472	0.0437	1
2699	118	83.773787	-5.398361	1	1	05 35 05.709	-05 23 54.10	21.2046	0.2133	1	19.0843	0.0388	1	16.1829	0.1034	1	14.0679	0.0115	1
2651	119	83.772517	-5.404194	1	1	05 35 05.404	-05 24 15.10	18.2704	0.2152	1	       	20.5127	2	14.8541	0.2672	1	15.7972	0.0195	1
2762	120	83.776754	-5.387583	1	0	05 35 06.421	-05 23 15.30	       	22.1591	2	       	21.3353	2	       	18.8719	2	16.4339	0.0219	1
2842	121	83.780275	-5.374044	1	0	05 35 07.266	-05 22 26.56	20.0599	0.0908	1	19.9078	0.0623	1	14.9909	0.0624	1	14.6142	0.0118	1
2854	122	83.780758	-5.374725	1	0	05 35 07.382	-05 22 29.01	20.8544	0.1455	1	20.3612	0.082	1	16.3871	0.0932	1	15.3008	0.0134	1
2730	123	83.775375	-5.400167	1	1	05 35 06.090	-05 24 00.60	20.3199	0.1733	1	       	21.3177	2	15.6046	0.0799	1	       	20.0739	2
2641	124	83.772013	-5.417497	1	0	05 35 05.283	-05 25 02.99	       	       	0	       	       	0	       	17.7004	2	17.2823	0.0384	1
2719	125	83.773837	-5.418456	1	0	05 35 05.721	-05 25 06.44	18.0532	0.0257	1	16.9941	0.0152	1	13.68	0.014	1	13.1706	0.0105	1
2682	126	83.773471	-5.422081	1	0	05 35 05.633	-05 25 19.49	12.7744	0.0104	1	12.7523	0.0103	1	10.2154	0.0107	1	10.5551	0.0102	1
3194	127	83.792737	-5.387864	1	0	05 35 10.257	-05 23 16.31	19.5776	0.2294	1	       	20.9506	2	       	16.0494	2	18.2678	0.0776	1
2876	128	83.782079	-5.414664	1	1	05 35 07.699	-05 24 52.79	       	20.7411	2	21.7271	0.2973	1	16.9822	0.2033	1	15.9731	0.017	1
3016	129	83.786354	-5.382406	2	0	05 35 08.725	-05 22 56.66	       	20.8052	2	       	20.7469	2	17.1372	0.1208	1	15.739	0.0158	1
3016	129	83.786354	-5.382406	2	0	05 35 08.725	-05 22 56.66	       	20.4962	2	       	21.0671	2	17.2525	0.2359	1	15.738	0.0168	1
2869	131	83.781862	-5.400222	1	1	05 35 07.647	-05 24 00.80	19.4599	0.0834	1	19.9275	0.064	1	15.3403	0.0383	1	14.7045	0.0125	1
2869	132	83.781758	-5.400167	1	1	05 35 07.622	-05 24 00.60	20.3938	0.1021	1	19.964	0.0677	1	15.3339	0.0371	1	14.7362	0.0123	1
2783	133	83.777225	-5.417081	1	1	05 35 06.534	-05 25 01.49	19.94	0.0763	1	19.7268	0.0554	1	15.1417	0.0608	1	14.893	0.0125	1
8186	134	83.777117	-5.411456	2	1	05 35 06.508	-05 24 41.24	17.6507	0.02	1	16.5405	0.013	1	13.3711	0.0125	1	12.8226	0.0104	1
8186	134	83.777117	-5.411456	2	1	05 35 06.508	-05 24 41.24	17.765	0.0216	1	16.6223	0.0134	1	13.4308	0.0131	1	12.8801	0.0104	1
2973	136	83.785033	-5.375058	1	0	05 35 08.408	-05 22 30.21	       	20.6027	2	       	       	0	       	16.8304	2	18.1632	0.0682	1
2688	137	83.773712	-5.417844	1	0	05 35 05.691	-05 25 04.24	19.9528	0.0659	1	19.2027	0.0401	1	15.2647	0.0332	1	14.0836	0.0112	1
2653	138	83.772625	-5.422858	1	0	05 35 05.430	-05 25 22.29	       	21.7784	2	       	21.2328	2	16.5034	0.1245	1	16.8848	0.0331	1
3184	139	83.792517	-5.389308	1	0	05 35 10.204	-05 23 21.51	       	20.3383	2	       	21.0121	2	14.8471	0.1044	1	14.7009	0.0123	1
3144	140	83.790604	-5.390792	1	0	05 35 09.745	-05 23 26.85	15.9728	0.0124	1	15.0679	0.0108	1	12.2566	0.0135	1	11.9649	0.0103	1
2994	141	83.785692	-5.411181	1	0	05 35 08.566	-05 24 40.25	       	20.6392	2	       	21.1669	2	16.3158	0.2571	1	19.0942	0.1239	1
2985	142	83.785488	-5.411542	1	1	05 35 08.517	-05 24 41.55	       	21.35	2	20.3227	0.09	1	16.254	0.1498	1	14.9747	0.0129	1
3229	143	83.793862	-5.371267	1	0	05 35 10.527	-05 22 16.56	       	       	0	       	       	0	       	       	3	16.9266	0.0369	1
2951	144	83.784542	-5.409694	1	1	05 35 08.290	-05 24 34.90	19.4183	0.0525	1	19.7552	0.0586	1	15.3986	0.0581	1	14.8816	0.0126	1
2933	145	83.784217	-5.400944	1	1	05 35 08.212	-05 24 03.40	       	       	0	       	       	0	       	       	3	15.9429	0.0183	1
2933	146	83.784292	-5.400889	1	1	05 35 08.230	-05 24 03.20	       	22.0611	2	       	22.2675	2	       	18.3941	2	15.9395	0.0183	1
2998	147	83.78585	-5.390069	1	0	05 35 08.604	-05 23 24.25	       	21.8751	2	       	22.0396	2	16.1406	0.1417	1	18.8163	0.0935	1
2979	148	83.785117	-5.384711	2	0	05 35 08.428	-05 23 04.96	       	21.4985	2	       	22.0693	2	       	16.9598	2	17.6279	0.0534	1
2979	148	83.785117	-5.384711	2	0	05 35 08.428	-05 23 04.96	       	20.7722	2	       	21.1138	2	       	16.8943	2	17.6539	0.0599	1
3129	150	83.791221	-5.394028	2	0	05 35 09.893	-05 23 38.50	18.9074	0.1092	1	20.8804	0.1571	1	14.5315	0.069	1	15.7799	0.0169	1
3129	150	83.791221	-5.394028	2	0	05 35 09.893	-05 23 38.50	19.9437	0.1326	1	21.0748	0.194	1	14.4519	0.0671	1	15.7992	0.0175	1
8187	152	83.792088	-5.373961	1	0	05 35 10.101	-05 22 26.26	18.7169	0.1145	1	       	20.9046	2	13.9177	0.0727	1	18.6377	0.1628	1
3305	153	83.794792	-5.395764	1	0	05 35 10.750	-05 23 44.75	14.913	0.0122	1	13.8973	       	3	11.3419	       	3	10.5933	       	3
3294	154	83.795396	-5.379544	1	0	05 35 10.895	-05 22 46.36	17.5733	0.0608	1	19.1584	0.053	1	12.9754	0.0473	1	15.884	0.0223	1
3111	155	83.790733	-5.401889	1	1	05 35 09.776	-05 24 06.80	       	       	0	       	21.9429	2	       	       	3	19.4911	0.1587	1
3132	156	83.791221	-5.402917	1	1	05 35 09.893	-05 24 10.50	19.1091	0.1442	1	20.5541	0.2522	1	15.7231	0.2573	1	19.2962	0.1421	1
3516	157	83.802537	-5.395556	1	0	05 35 12.609	-05 23 44.00	17.3589	0.0708	1	14.3819	0.0109	1	13.7781	0.1496	1	11.3655	0.0106	1
3233	158	83.7939	-5.404639	1	0	05 35 10.536	-05 24 16.70	19.1233	0.0828	1	19.52	0.0618	1	14.5012	0.0764	1	15.7871	0.0189	1
3405	159	83.798858	-5.397694	1	0	05 35 11.726	-05 23 51.70	16.2265	0.0321	1	17.5677	0.0358	1	11.4636	0.0249	1	15.0777	0.0173	1
3210	160	83.793196	-5.414306	1	0	05 35 10.367	-05 24 51.50	       	       	0	       	22.0266	2	       	       	3	18.9224	0.1054	1
3399	161	83.798787	-5.394542	1	0	05 35 11.709	-05 23 40.35	       	20.5622	2	       	21.547	2	15.8031	0.213	1	14.2475	0.0121	1
3504	162	83.801137	-5.396639	1	0	05 35 12.273	-05 23 47.90	16.3894	0.0333	1	15.4715	0.0122	1	12.5573	0.055	1	12.0358	0.0105	1
3298	163	83.795562	-5.413514	1	0	05 35 10.935	-05 24 48.65	19.2105	0.0534	1	18.8397	0.035	1	13.6361	0.022	1	13.8189	0.0111	1
3354	164	83.797067	-5.407361	1	0	05 35 11.296	-05 24 26.50	       	       	0	       	       	0	       	       	3	18.3411	0.0855	1
3510	165	83.802363	-5.383878	1	0	05 35 12.567	-05 23 01.96	       	       	0	       	       	0	       	       	3	17.7917	0.0805	1
3588	166	83.804483	-5.381433	1	0	05 35 13.076	-05 22 53.16	17.5328	0.0891	1	19.0655	0.1293	1	13.7121	0.1414	1	17.5875	0.1094	1
3642	167	83.805646	-5.373919	1	0	05 35 13.355	-05 22 26.11	20.3722	0.2727	1	19.9368	0.0869	1	15.4805	0.1239	1	14.9058	0.0132	1
3596	168	83.804613	-5.379753	1	0	05 35 13.107	-05 22 47.11	17.2505	0.0498	1	19.4215	0.0712	1	12.562	0.0346	1	16.8539	0.0515	1
